知识点,考查关键,记忆口诀/类比
《诗经》开创"风雅颂"体裁,风(民歌)雅(宫廷)颂(祭祀),"风在民间吹，雅在殿堂吟，颂在祭坛唱"
《离骚》屈原代表作,浪漫主义源头+香草美人手法,"香草美人=借花喻人"
史记（司马迁）,第一部纪传体通史,"究天人之际，通古今之变，成一家之言"
资治通鉴（司马光）,编年体通史,"以史为鉴可知兴替"
唐宋八大家,韩柳+三苏+欧曾王，"韩柳三苏欧曾王，古文运动扛大梁"
建安七子,孔融陈琳等七人,"建安风骨=慷慨悲凉"
唐诗分期:初/盛/中/晚,初唐四杰(王杨卢骆),"王杨卢骆开新篇，李杜光芒照盛唐"
宋词两大流派,婉约(柳永李清照)vs豪放(苏轼辛弃疾),"婉约儿女情长，豪放家国天下"
元曲四大家,关马郑白，"关汉卿马致远郑光祖白朴"
四大名著,红(清)三(明)水(明)西(明)，"明清小说四座山"
鲁迅,《呐喊》《彷徨》+《朝花夕拾》,中国现代文学奠基人,"横眉冷对千夫指，俯首甘为孺子牛"
《论语》,语录体+孔子弟子及再传弟子所记,"半部论语可治天下"
《孟子》,论辩体+孟子与弟子合著,"民贵君轻+性善论"
《左传》,编年体+春秋左氏传,"叙事之最，战争描写顶级"
《战国策》,国别体+战国纵横家言,"策士风采，说辞典范"
陶渊明,田园诗派鼻祖,"采菊东篱下，悠然见南山"
杜甫,诗圣+诗史,"沉郁顿挫，忧国忧民"
李白,诗仙+浪漫主义,"笔落惊风雨，诗成泣鬼神"
苏轼,豪放派代表+诗文书画全才,"一蓑烟雨任平生"
曹雪芹,《红楼梦》+清代,"满纸荒唐言，一把辛酸泪"
